"full_name","pdes","a","e","i","om","w","ma","epoch_mjd"
"    46 Hestia (A857 QA)",46,2.524526867092783,.1725942802827192,2.351814255271605,181.068680425055,177.0596999867974,103.2577407489422,60200
"    47 Aglaja (A857 RA)",47,2.880475642792233,.1300317319579784,4.975543371803546,3.051303393833343,315.3123040273267,14.01574939016868,60200
"    48 Doris (A857 SA)",48,3.113442013753855,.06713790484065806,6.558957476389748,183.438725869369,251.0205737449203,358.415408654351,60200
"    49 Pales (A857 SB)",49,3.099183423691937,.2217078126373662,3.200353518140713,285.0114977080324,113.2786010629646,168.6339350574342,60200
"    50 Virginia (A857 TA)",50,2.651357246806448,.2850542482312806,2.839396120089034,173.4672447135312,200.0089648808649,164.1065852833544,60200
"    51 Nemausa (A858 BA)",51,2.365404599673409,.06716120101873928,9.978876974555893,175.9556863212837,1.70551864224762,170.4619745828754,60200
"    52 Europa (A858 CA)",52,3.093272780198181,.1112576728712005,7.479170277128112,128.5811873739765,342.9098550277421,167.5355674551625,60200
"    53 Kalypso (A858 GA)",53,2.619112038328478,.2026215770620414,5.180689385024306,143.4561791086986,314.2400844749532,75.27364078751714,60200
"    54 Alexandra (A858 RA)",54,2.710619565983036,.1967055439495515,11.79696325163816,313.2297839562401,345.2969035125976,11.23686761075775,60200
"    55 Pandora (A858 RB)",55,2.759301948657865,.1443969864773859,7.181232415099144,10.3635699668452,5.472932467030102,344.9402518684425,60200
"    56 Melete (A857 RB)",56,2.597219324853262,.2373381845683569,8.081950726113872,192.940487096905,104.9271672680984,263.6418411797848,60200
"    57 Mnemosyne (A859 SA)",57,3.153061341399668,.1086172591172297,15.23678229646789,198.8966120491684,210.6321933755517,64.80337685770562,60200
"    58 Concordia (A860 FA)",58,2.698595060832023,.04509896075610011,5.072631307524263,161.0622530283684,34.12002539471686,290.4731622212324,60200
"    59 Elpis (A860 RA)",59,2.713833765931029,.1170863502643687,8.648811299261068,169.931715693361,210.9274570777617,152.1871586177326,60200
"    60 Echo (A860 RB)",60,2.392407248154792,.1850391235955898,3.601218214640626,191.5394715665704,270.91583880,274.9895553663159,60200
"    61 Danae (A860 RC)",61,2.985837984526302,.1643587928649994,18.20525466245342,333.5690449576048,12.82006669843263,217.65164657516,60200
"    62 Erato (A860 RD)",62,3.130728546662063,.168149925340254,2.236417321848403,125.1160192096245,277.5343155600617,163.4618965050819,60200
"    63 Ausonia (A861 CA)",63,2.394007909585809,.1282493342859556,5.774023254041445,337.6933334953325,295.8568830564323,205.0785896113971,60200
"    64 Angelina (A861 EA)",64,2.681128031186887,.125986497252679,1.305547245023004,308.9878623555218,180.9250335603175,35.48881786792576,60200
"    65 Cybele (A861 EB)",65,3.425733443379117,.1222058244715327,3.559033744708985,155.3675002951794,103.363865079954,148.164352344531,60200
"    66 Maja (A861 GA)",66,2.645715054021991,.1726533710284607,3.044386199561791,7.48618459899274,43.33542080785472,26.17422520967489,60200
"    67 Asia (A861 HA)",67,2.421795381720608,.184465185946652,6.029379285459505,202.3886001469009,107.0985743102146,336.8576962423293,60200
"    68 Leto (A861 HB)",68,2.783699831054549,.1847114668920203,7.961348002248987,44.0550092204324,304.7539190630267,240.9733984016688,60200
"    69 Hesperia (A861 HC)",69,2.97589752146314,.1699819658104157,8.592926773235892,184.9860773885616,288.6901037064512,248.8230958904002,60200
"    70 Panopaea (A861 JA)",70,2.617080579970124,.1815314645887212,11.59822354069978,47.65337436311387,255.7694534478801,82.7082154641584,60200
"    71 Niobe (A861 PA)",71,2.753538834069376,.1765320746127286,23.24415993810232,315.915901222921,267.0964001046945,248.5792562140356,60200
"    72 Feronia (A861 KA)",72,2.266204818429042,.1213180561812306,5.418459276424911,207.9344739704265,103.0076874299535,108.8087017656947,60200
"    73 Klytia (A862 GA)",73,2.66516503828778,.04207490306717973,2.369645248635631,6.852071198278155,55.95957660290992,155.6311046433696,60200
"    74 Galatea (A862 QA)",74,2.781108485601295,.2363080561523504,4.07207185469173,197.1201107020346,174.7692637918543,254.394505008182,60200
"    75 Eurydike (A862 SA)",75,2.673771282324491,.303539330818236,4.991485370510246,359.3174593894366,339.5359269503891,322.1491930234183,60200
"    76 Freia (A862 UA)",76,3.411781778815967,.1670010870519294,2.122869932067657,204.2886127608805,251.9881835123092,174.4938943295511,60200
"    77 Frigga (A862 VA)",77,2.667513875829733,.133512756814349,2.422853061411542,1.13183660701538,61.63877217074812,285.3832430963511,60200
"    78 Diana (A863 EA)",78,2.621866902194844,.2033183487967117,8.678903123255964,333.3083041358231,153.1200685763513,329.5154276160839,60200
"    79 Eurynome (A863 RA)",79,2.444114740909653,.1908650641978611,4.61390432467827,206.5228805735095,201.5930798170876,280.7972325839294,60200
"    80 Sappho (A864 JA)",80,2.296190758261867,.1999008637386449,8.677150477981836,218.6453518361084,139.5797182801888,190.7645159156144,60200
"    81 Terpsichore (A864 SA)",81,2.852122488887283,.2119320785651509,7.80490459695488,.9496891047513761,51.48630612407034,314.7083797219038,60200
"    82 Alkmene (A864 WA)",82,2.762434883290748,.2206494356917547,2.826225137938672,25.43265504087018,110.9101616317838,159.3243176180344,60200
"    83 Beatrix (A865 HA)",83,2.431114956694679,.08253665563185962,4.967286217182789,27.66712193039118,170.0633077327394,283.8615226609944,60200
"    84 Klio (A865 QA)",84,2.362408821371144,.2359550797494367,9.314965946679344,327.5149147865983,15.06728439787395,181.8031285966925,60200
"    85 Io (A865 SA)",85,2.653609926612771,.193631244080396,11.96158235446031,203.0505263903894,122.9061630356443,225.8747016860769,60200
"    86 Semele (A866 AA)",86,3.103872054385614,.2163563288338952,4.822152039882619,86.06928984405901,309.0085560135354,279.8138359560753,60200
"    87 Sylvia (A866 KA)",87,3.477037558144233,.09389232575279999,10.88029343445555,73.01217232452323,264.403036366832,334.8192576772183,60200
"    88 Thisbe (A866 LA)",88,2.769115264692561,.1619241802882561,5.213485574002092,276.4235786077643,36.74384087789062,30.77020254771818,60200
"    89 Julia (A866 PA)",89,2.550744707476701,.1843294365393892,16.12372738957453,311.5434260686411,45.13525284077053,164.9424058332756,60200
